INFO  - 2017-06-17 18:32:07.421; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-06-17 18:32:07.523; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-06-17 18:32:07.528; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-06-17 18:32:07.530; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-06-17 18:32:07.534; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-06-17 18:32:07.538; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-06-17 18:32:07.616; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-06-17 18:32:07.617; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-06-17 18:32:07.635; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-06-17 18:32:07.635; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-06-17 18:32:07.685; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6f7c1211[collection1] main
INFO  - 2017-06-17 18:32:07.698; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.698; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2017-06-17 18:32:07.701; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.712; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.713; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2017-06-17 18:32:07.713; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2017-06-17 18:32:07.714; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.717; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.717; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2017-06-17 18:32:07.718; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2017-06-17 18:32:07.718; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2017-06-17 18:32:07.719; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.720; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/linzhun/Documents/DjangoByExample/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-06-17 18:32:07.721; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2017-06-17 18:32:07.723; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2017-06-17 18:32:07.727; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
